Event_Id,Investigation_Type,Accident_Number,Event_Date,City,State,County,State_FIPS,County_FIPS,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_Flight,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Report_Status,Publication_Date
20180403X00427 , Accident , CEN18FA132A , 04/02/2018 ,Marion,IN,GRANT COUNTY,18,053, MZZ , Marion Municipal Airport , Fatal(2) , Destroyed , Airplane , N5614E , CESSNA ,150, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,5, VMC , TAKEOFF , Preliminary , 04/16/2018 
20180331X84022 , Accident , WPR18FA116 , 03/31/2018 ,Santa Paula,CA,VENTURA COUNTY,06,111, SZP , SANTA PAULA , Fatal(2) , Destroyed , Airplane , N820TL , Ragle , RV6A , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC , APPROACH , Preliminary , 04/05/2018 
20180331X11926 , Accident , ERA18LA119 , 03/31/2018 ,Atlantic Ocean,AO,#N/A,#N/A,#N/A,  , N/A , Fatal(2) , Substantial , Airplane , N4ZQ , AMES ANGIER M , LNC2 , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  ,  ,  , Preliminary , 04/25/2018 
20180330X30423 , Accident , ERA18FA118 , 03/28/2018 ,Ashville,AL,ST. CLAIR COUNTY,01,115,  , N/A , Fatal(1) , Destroyed , Airplane , N3167C , CESSNA , R182 , No ,1,  , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , CRUISE , Preliminary , 04/18/2018 
20180327X91612 , Accident , WPR18LA113 , 03/27/2018 ,Stockton,CA,SAN JOAQUIN COUNTY,06,077,  , N/A , Fatal(1) , Substantial , Airplane , N3629E , SCHWEIZER AIRCRAFT CORP , G 164B , No ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,1,  ,  ,  , VMC , MANEUVERING , Preliminary , 04/04/2018 
20180326X54912 , Accident , WPR18FA112 , 03/26/2018 ,Marina,CA,MONTEREY COUNTY,06,053, OAR , Marina Municipal Airport , Fatal(1) , Destroyed , Airplane , N213EJ , MOONEY , M20E , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , TAKEOFF , Preliminary , 04/04/2018 
20180326X01910 , Accident , ERA18FA114 , 03/25/2018 ,Hydro,OK,BLAINE COUNTY,40,011,  , N/A , Fatal(2) , Destroyed , Airplane , N7019N , BEECH , V35 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , IMC ,  , Preliminary , 04/11/2018 
20180323X80643 , Accident , CEN18FA126 , 03/21/2018 ,Pierce,NE,PIERCE COUNTY,31,139,  , Private , Fatal(1) , Substantial , Airplane , N741WT , NANNARONE RANS S-16 SHEKARI , S-16 SHEKARI , Yes ,  ,  , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , APPROACH , Preliminary , 03/29/2018 
20020917X04791 , Accident , LAX83FA040 , 11/27/1982 ,10 M.N. OF GILR,CA,SACRAMENTO COUNTY,06,067,  ,  , Fatal(1) , Destroyed , Airplane , N6049B , BEECH ,23, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,0,0,0, IMC , CRUISE , Probable Cause , 11/27/1983 
20180312X03110 , Accident , WPR18FA104 , 03/11/2018 ,La Center,WA,CLARK COUNTY,53,011,  ,  , Fatal(1) , Destroyed , Airplane , N4511Y , PIPER , PA 18-150 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  ,  , MANEUVERING , Preliminary , 04/05/2018 
20180311X13013 , Accident , ERA18MA099 , 03/11/2018 ,New York,NY,BRONX COUNTY,36,005,  , N/A , Fatal(5) , Substantial , Helicopter , N350LH , AMERICAN EUROCOPTER CORP , AS350B2 , No ,1, Turbo Shaft , Part 91: General Aviation ,  , Aerial Observation ,  ,5,  ,1,  , VMC , STANDING , Preliminary , 03/23/2018 
20180308X30039 , Accident , CEN18FA116 , 03/08/2018 ,Laredo,TX,WEBB COUNTY,48,479, KLRD ,  , Fatal(2) , Destroyed , Airplane , N82605 , PIPER , PA 31P , No ,  , Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC , LANDING , Preliminary , 03/12/2018 
20020917X02255 , Accident , LAX82FA040 , 01/03/1982 ,10 NM W LEE VIN,CA,SACRAMENTO COUNTY,06,067,  ,  , Fatal(2) , Destroyed , Airplane , N28912 , GRUMMAN , AA-5B , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,1,0,0, IMC , DESCENT , Probable Cause , 01/03/1983 
20180305X44855 , Accident , ERA18LA095 , 03/05/2018 ,Beaufort,SC,BEAUFORT COUNTY,45,013, ARW , Beaufort County Airport , Fatal(1) , Substantial , Gyroplane , N221YT , ROBERT SNYDER , AUTOGYRO CALIDUS , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , TAKEOFF , Preliminary , 03/26/2018 
20180304X41553 , Accident , ERA18LA094 , 02/28/2018 ,Ocean City,MD,WORCESTER COUNTY,24,047, OXB , OCEAN CITY MUNI , Fatal(2) , Destroyed , Airplane , N615JA , CESSNA ,172, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC , DESCENT , Preliminary , 03/15/2018 
20020917X02348 , Accident , MIA82DA050 , 02/05/1982 ,120 NM SSE OF M,FL,LEON COUNTY,12,073,  ,  , Fatal(2) , Destroyed , Airplane , N1306H , PIPER , PA-28 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,0,0,0, VMC , CRUISE , Probable Cause , 02/05/1983 
20180226X95618 , Accident , ERA18FA088 , 02/26/2018 ,Greenwood,MS,LEFLORE COUNTY,28,083,  , N/A , Fatal(1) , Substantial , Airplane , N581LA , AIR TRACTOR INC , AT-802 , No ,1, Turbo Prop , Part 137: Agricultural ,  , Aerial Application ,  ,1,  ,  ,  , VMC , MANEUVERING , Preliminary , 03/16/2018 
20180225X92244 , Accident , ERA18LA089 , 02/25/2018 ,Eustis,FL,LAKE COUNTY,12,069, X55 , MID FLORIDA AIR SERVICE , Fatal(1) , Substantial , Weight-Shift , N98YW , AIRBORNE WINDSPORTS PTY LTD , EDGE XT 912 L , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , APPROACH , Preliminary , 03/14/2018 
20180223X23016 , Accident , WPR18FA095 , 02/22/2018 ,Monticello,UT,SAN JUAN COUNTY,49,037,  , N/A , Fatal(4) , Destroyed , Airplane , C-GYGY , PIPER , PA32R , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,4,  ,  ,  ,  , UNKNOWN , Preliminary , 03/08/2018 
20180223X04505 , Accident , CEN18FA108 , 02/22/2018 ,Ulysses,KS,GRANT COUNTY,20,067,  ,  , Fatal(2) , Destroyed , Airplane , N678DD , BEECH ,58, No ,  ,  , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC , CLIMB , Preliminary , 02/28/2018 
20180222X31345 , Accident , CEN18FA107 , 02/22/2018 ,Rossville,IN,CLINTON COUNTY,18,023,  , N/A , Fatal(3) , Destroyed , Airplane , N771XW , CESSNA ,441, No ,  ,  , Part 91: General Aviation ,  , Business ,  ,3,  ,  ,  , IMC , CLIMB , Preliminary , 03/05/2018 
20180221X04610 , Accident , WPR18FA093 , 02/21/2018 ,San Diego,CA,SAN DIEGO COUNTY,06,073, MYF , Montgomery-Gibbs Executive Air , Fatal(1) , Substantial , Airplane , N707DF , CIRRUS DESIGN CORP , SR22T , No ,  , Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , TAKEOFF , Preliminary , 02/26/2018 
20180221X93251 , Accident , ERA18FA084 , 02/21/2018 ,Bonifay,FL,HOLMES COUNTY,12,059, 1J0 , TRI-COUNTY , Fatal(1) , Destroyed , Airplane , N3568K , PIPER , PA 28-140 , No ,1, Reciprocating , Part 91: General Aviation ,  , Flight Test ,  ,1,  ,  ,  , VMC , APPROACH , Preliminary , 02/27/2018 
20020917X03686 , Accident , LAX82FA282 , 07/29/1982 ,11MI.SW OF SILV,NV,CARSON CITY,32,510,  ,  , Fatal(1) , Destroyed , Airplane , N13310 , CESSNA ,177, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,0,0,0, VMC , CRUISE , Probable Cause , 07/29/1983 
20180218X81015 , Accident , CEN18FA101 , 02/18/2018 ,Evanston,WY,UINTA COUNTY,56,041, EVW , EVANSTON-UINTA COUNTY BURNS FI , Fatal(2) , Destroyed , Airplane , N700VX , SOCATA , TBM 700 , No ,1, Turbo Prop , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , IMC , APPROACH , Preliminary , 02/27/2018 
20020917X05103 , Accident , SEA82AA155 , 09/05/1982 ,23 MI ENE TOUTL,WA,THURSTON COUNTY,53,067,  ,  , Fatal(2) , Destroyed , Airplane , N48915 , PIPER , PA-32-300 , No ,1, Reciprocating , Part 91: General Aviation ,  , Unknown ,  ,2,5,0,0, VMC , CRUISE , Probable Cause , 09/05/1983 
20180211X53503 , Accident , WPR18FA088 , 02/11/2018 ,AGUA DULCE,CA,LOS ANGELES COUNTY,06,037,  , N/A , Fatal(4) , Substantial , Airplane , N52TH , HASTINGS THOMAS G , CIRRUS VK 30 , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,4,  ,  ,  , VMC ,  , Preliminary , 02/26/2018 
20180210X14603 , Accident , WPR18FA087 , 02/10/2018 ,Peach Springs,AZ,MOHAVE COUNTY,04,015,  , N/A , Fatal(3) , Destroyed , Helicopter , N155GC , EUROCOPTER , EC130 , No ,1, Turbo Shaft , Part 135: Air Taxi & Commuter , NSCH ,  ," Papillon Airways, Inc. ",3,4,  ,  , VMC , MANEUVERING , Preliminary , 02/20/2018 
20180206X32714 , Accident , WPR18FA084 , 02/06/2018 ,Santee,CA,SAN DIEGO COUNTY,06,073, SEE , GILLESPIE FIELD , Fatal(2) , Substantial , Airplane , N3525T , CESSNA , 182T , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , IMC , TAKEOFF , Preliminary , 03/06/2018 
20180205X40240 , Accident , ERA18LA083 , 02/05/2018 ,Carrabelle,FL,FRANKLIN COUNTY,12,037, X13 , CARRABELLE-THOMPSON , Fatal(1) , Substantial , Airplane , N543SX , GREGORY NEWMAN , SONEX TRAINER , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , TAKEOFF , Preliminary , 02/08/2018 
20180130X82722 , Accident , WPR18FA077 , 01/30/2018 ,Newport Beach,CA,ORANGE COUNTY,06,059, SNA , JOHN WAYNE AIRPORT-ORANGE COUN , Fatal(3) , Destroyed , Helicopter , N7530R , ROBINSON HELICOPTER , R44 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3,1,1,  , VMC , CLIMB , Preliminary , 02/08/2018 
20180131X31336 , Accident , ANC18FA022 , 01/30/2018 ,Helenwood,TN,SCOTT COUNTY,47,151,  ,  , Fatal(1) , Substantial , Airplane , N9378Y , BEECH , 35 A33 ,  ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,1,  ,  ,  ,  , Preliminary , 02/22/2018 
20180129X53056 , Accident , WPR18FA075 , 01/29/2018 ,Concord,CA,CONTRA COSTA COUNTY,06,013,  , N/A , Fatal(1) , Substantial , Airplane , N93316 , CESSNA ,152, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC ,  , Preliminary , 02/15/2018 
20180127X31420 , Accident , WPR18FA074 , 01/27/2018 ,Pomeroy,WA,GARFIELD COUNTY,53,023,  , N/A , Fatal(1) , Substantial , Helicopter , N369TH , HUGHES , 369D , No ,  ,  , Part 91: General Aviation ,  , Other Work Use ,  ,1,2,  ,  , VMC , MANEUVERING , Preliminary , 02/08/2018 
20180131X13139 , Accident , CEN18FA088 , 01/27/2018 ,Williamsport,IN,WARREN COUNTY,18,171,  , N/A , Fatal(1) , Destroyed , Airplane , N8559U , CESSNA , 172F ,  ,1, Reciprocating , Part 91: General Aviation ,  , Ferry ,  ,1,  ,  ,  , VMC , MANEUVERING , Preliminary , 02/01/2018 
20180124X03935 , Accident , CEN18FA083 , 01/23/2018 ,Sauk Centre,MN,STEARNS COUNTY,27,145, D39 , Sauk Municipal , Fatal(1) , Substantial , Airplane , N251WT , SKWIRA MATTHEW J , W-10 TAILWIND , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , MANEUVERING , Preliminary , 02/15/2018 
20180122X32841 , Accident , ERA18FA064 , 01/22/2018 ,Bonita Springs,FL,LEE COUNTY,12,071,  , N/A , Fatal(1) , Destroyed , Airplane , N262WS , VANS AIRCRAFT INC , RV-12 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , CRUISE , Preliminary , 01/30/2018 
20020917X02274 , Accident , LAX82FA109 , 03/16/1982 ,12 N.E. BURBANK,CA,SACRAMENTO COUNTY,06,067,  ,  , Fatal(3) , Destroyed , Airplane , N98546 , CESSNA , 340A , No ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3,0,0,0, IMC , CLIMB , Probable Cause , 03/16/1983 
20180118X03803 , Accident , CEN18FA078 , 01/17/2018 ,Raton,NM,COLFAX COUNTY,35,007,  , N/A , Fatal(5) , Destroyed , Helicopter , N658H , BELL , UH-1H , No ,1, Turbo Shaft , Part 91: General Aviation ,  , Personal ,  ,5,1,  ,  , VMC , CRUISE , Preliminary , 02/12/2018 
20180115X33637 , Accident , CEN18FA074 , 01/15/2018 ,Perrysburg,OH,WOOD COUNTY,39,173,  , N/A , Fatal(2) , Substantial , Helicopter , N4QX , MD HELICOPTERS INC , 369HM , No ,1, Turbo Shaft , Part 91: General Aviation ,  , Aerial Observation ,  ,2,  ,  ,  , IMC , MANEUVERING , Preliminary , 01/25/2018 
20020917X04159 , Accident , SEA82FA129 , 07/24/1982 ,11NM EAST OF SI,AK,ANCHORAGE MUNICIPALITY,02,020,  ,  , Fatal(4) , Destroyed , Airplane , N9682Q , CESSNA , A185F , No ,1, Reciprocating , Part 135: Air Taxi & Commuter , NSCH , Unknown , BELLAIR ,4,0,0,0, VMC , CRUISE , Probable Cause , 07/24/1983 
20020917X04794 , Accident , LAX83FA047 , 11/28/1982 ,12NM EAST OF AN,CA,SACRAMENTO COUNTY,06,067,  ,  , Fatal(3) , Destroyed , Airplane , N737LA , CESSNA , 172N , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3,0,0,0, VMC , CRUISE , Probable Cause , 11/28/1983 
20020917X04792 , Accident , LAX83FA041 , 11/28/1982 ,13 SE OF LINDEN,CA,SACRAMENTO COUNTY,06,067,  ,  , Fatal(2) , Destroyed , Airplane , N732BQ , CESSNA , T210L , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,0,0,0, IMC , CRUISE , Probable Cause , 11/28/1983 
20090820X10204 , Accident , WPR09GA407 , 08/20/2009 ,Austin,NV,LANDER COUNTY,32,015, BAM , Battle Mountain , Fatal(1) , Substantial , Airplane , N807MA , AIR TRACTOR , AT-802A , No ,1, Turbo Prop , Public Use ,  , Firefighting ,  ,1,  ,  ,  , VMC , MANEUVERING , Probable Cause , 07/01/2010 
20180104X85338 , Accident , WPR18FA063 , 12/29/2017 ,Ogden,UT,WEBER COUNTY,49,057,  , N/A , Fatal(2) ,  , Airplane , N4395R , CESSNA , 172M , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC , CRUISE , Preliminary , 01/30/2018 
20171224X03602 , Accident , CEN18FA061 , 12/24/2017 ,Bartow,FL,POLK COUNTY,12,105, BOW , BARTOW MUNI , Fatal(5) , Destroyed , Airplane , N247AT , CESSNA ,340, No ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,5,  ,  ,  , IMC , TAKEOFF , Preliminary , 01/02/2018 
20171223X73130 , Accident , CEN18FA060 , 12/23/2017 ,Oskaloosa,IA,MAHASKA COUNTY,19,123,  , N/A , Fatal(1) , Substantial , Airplane , N20XA , X-AIR LLC , XA85 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , MANEUVERING , Preliminary , 01/02/2018 
20171221X55208 , Accident , WPR18FA053 , 12/21/2017 ,Thompson's Station,TN,WILLIAMSON COUNTY,47,187,  , N/A , Fatal(1) , Substantial , Airplane , N929GB , BROWNING GREGORY S , ZODIAC 601XL , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC ,  , Preliminary , 01/04/2018 
20171222X05541 , Accident , ERA18FA056 , 12/20/2017 ,Cross City,FL,DIXIE COUNTY,12,029,  , N/A , Fatal(1) , Destroyed , Airplane , N354WD , BEECH , G35 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , IMC ,  , Preliminary , 12/27/2017 
20171217X21740 , Accident , CEN18FA054 , 12/17/2017 ,Reeds Spring,MO,STONE COUNTY,29,209,  , N/A , Fatal(2) , Destroyed , Airplane , N6433J , PIPER , PA 28-180 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , IMC , CRUISE , Preliminary , 01/17/2018 
20171216X55947 , Accident , ERA18LA048 , 12/16/2017 ,Castalia,NC,NASH COUNTY,37,127, NONE , Farm Field , Fatal(1) , Substantial , Airplane , N7929Z , CESSNA ,150, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , TAKEOFF , Preliminary , 12/27/2017 
20171217X14131 , Accident , CEN18FA053 , 12/16/2017 ,Oldenburg,IN,FRANKLIN COUNTY,18,047,  ,  , Fatal(3) , Destroyed , Airplane , N761YZ , CESSNA , T210M , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,3,  ,  ,  , VMC , CLIMB , Preliminary , 01/02/2018 
20171210X70535 , Accident , CEN18FA050 , 12/10/2017 ,Miami,FL,MIAMI-DADE COUNTY,12,086, TMB , MIAMI EXECUTIVE , Fatal(1) , Destroyed , Airplane , N7529S , SMITH , AEROSTAR 601 , No ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , APPROACH , Preliminary , 12/18/2017 
20171210X74756 , Accident , ANC18FA012 , 12/10/2017 ,Maunaloa,HI,MAUI COUNTY,15,009,  , N/A , Fatal(2) , Destroyed , Airplane , N732DF , TEXTRON AVIATION , U206 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , IMC , APPROACH , Preliminary , 12/18/2017 
20171209X05200 , Accident , WPR18FA046 , 12/09/2017 ,San Diego,CA,SAN DIEGO COUNTY,06,073, MYF , MONTGOMERY-GIBBS EXECUTIVE , Fatal(2) , Destroyed , Airplane , N248SB , BEECH , A36 , No ,  ,  , Part 91: General Aviation ,  , Personal ,  ,2,2,  ,  , VMC , CLIMB , Preliminary , 12/18/2017 
20171208X32353 , Accident , WPR18FA045 , 12/08/2017 ,Geneva,FL,SEMINOLE COUNTY,12,117, SFB , ORLANDO SANFORD INTL , Fatal(3) , Destroyed , Airplane , N19LW , BEECH , C90 , No ,  , Turbo Prop , Part 91: General Aviation ,  , Instructional ,  ,3,  ,  ,  , VMC , APPROACH , Preliminary , 12/18/2017 
20171207X11110 , Accident , ERA18FA046 , 12/07/2017 ,St. Croix,VI,#N/A,#N/A,#N/A, TISX , Henry E Rohlsen Airport , Fatal(5) , Destroyed , Airplane , N4494A , BEECH ,58, No ,2, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,5,  ,  ,  , VMC , DESCENT , Preliminary , 12/13/2017 
20171207X64827 , Accident , CEN18FA049 , 12/06/2017 ,Chesterfield,MO,ST. LOUIS COUNTY,29,189,  ,  , Fatal(1) , Destroyed , Airplane , N679EA , RAYTHEON AIRCRAFT COMPANY , B36TC , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , APPROACH , Preliminary , 12/11/2017 
20171204X10532 , Accident , CEN18FA045 , 12/03/2017 ,Ravenna,OH,PORTAGE COUNTY,39,133, POV , Portage County Airport , Fatal(1) , Destroyed , Airplane , N2200T , PIPER , TITAN TORNADO II D , Yes ,1,  , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , APPROACH , Preliminary , 12/07/2017 
20171202X04340 , Accident , ERA18LA039 , 12/02/2017 ,Hernando,MS,DESOTO COUNTY,28,033, MS9 , Eagles Ridge Airport , Fatal(2) , Destroyed , Gyroplane , N7481ZK , Kevin Leue , Sparrow Hawk , Yes ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,  ,  ,  , VMC , UNKNOWN , Preliminary , 12/11/2017 
20171123X70738 , Accident , ERA18FA030 , 11/23/2017 ,Starke,FL,BRADFORD COUNTY,12,007, VQQ , CECIL , Fatal(1) , Substantial , Airplane , N6894N , MOONEY , M20C , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , IMC , GO-AROUND , Preliminary , 12/01/2017 
20171123X41716 , Accident , CEN18FA037 , 11/22/2017 ,Pittsford,VT,RUTLAND COUNTY,50,021,  , N/A , Fatal(1) , Destroyed , Airplane , N4676L , CESSNA , 172G , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , UNK ,  , Preliminary , 11/29/2017 
20171120X90940 , Accident , CEN18FA035 , 11/20/2017 ,Electra,TX,WICHITA COUNTY,48,485,  ,  , Fatal(1) , Substantial , Helicopter , N4179M , ROBINSON HELICOPTER , R22 BETA , No ,1, Reciprocating , Part 91: General Aviation ,  , Other Work Use ,  ,1,  ,  ,  , VMC , MANEUVERING , Preliminary , 11/27/2017 
20171120X25221 , Accident , WPR18FA035 , 11/19/2017 ,Tehachapi,CA,KERN COUNTY,06,029, TSP , Tehachapi Municipal , Fatal(1) , Destroyed , Airplane , N24987 , CESSNA ,152, No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,1,  ,  ,  , VMC , TAKEOFF , Preliminary , 11/30/2017 
20020917X03669 , Accident , LAX82FA240 , 07/02/1982 ,37 NM NW. OF RE,CA,SACRAMENTO COUNTY,06,067,  ,  , Fatal(2) , Destroyed , Airplane , N23725 , BEECH , V35B , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,2,0,0,0, IMC , CRUISE , Probable Cause , 07/02/1983 
20171119X32831 , Accident , CEN18FA033 , 11/19/2017 ,Stuttgart,AR,ARKANSAS COUNTY,05,001,  , N/A , Fatal(3) , Substantial , Helicopter , N620PA , BELL HELICOPTER TEXTRON CANADA ,407, No ,1, Turbo Shaft , Part 91: General Aviation ,  , Positioning ,  ,3,  ,  ,  , VMC ,  , Preliminary , 11/28/2017 
20171112X72518 , Accident , ERA18FA022 , 11/12/2017 ,Fountain Run,KY,MONROE COUNTY,21,171,  , N/A , Fatal(4) , Destroyed , Airplane , N3371W , PIPER , PA 32-260 , No ,1, Reciprocating , Part 91: General Aviation ,  , Personal ,  ,4,  ,  ,  , IMC ,  , Preliminary , 11/22/2017 
